Time_Spent_on_Site,Total_Amount_Spent,Page_Views,AOV,Group
81.44254501,0,13,0,A
26.68349819,213.27,9,29.48461564,A
51.95538087,167.83,11,14.88497504,A
206.6289564,525.05,27,110.7223771,A
45.61766296,141.23,13,18.75758551,A
94.53869117,56.1,19,14.43152431,A
165.4985907,1068.17,47,146.685847,A
140.0633683,90.35,23,23.78700242,A
107.0051562,624.15,22,57.83553102,A
87.43005428,68.84,11,15.08158544,A
447.7272042,429.22,18,150.949023,A
81.63390612,102.58,12,17.38015124,A
79.1467916,476.5,14,51.81448411,A
145.1626628,85.69,15,14.47898745,A
139.95372,166.55,28,33.32668836,A
41.07074515,101.83,12,17.05290361,A
47.84134902,810.26,16,95.43735234,A
100.1818253,722.44,23,101.7019798,A
45.19061072,0,11,0,A
183.8687981,0,16,0,A
115.1879534,479.19,26,44.01106706,A
69.74803107,106.43,14,14.27334486,A
70.59461897,230.08,13,25.25691658,A
62.02958414,1228.62,13,98.18830861,A
106.9858946,113.2,11,23.36710478,A
45.39838784,150.38,13,17.42011234,A
194.2646194,274.94,19,29.80698263,A
116.5767433,284.46,14,8.37143461,A
77.95459321,31.81,10,10.81781777,A
60.71397092,82.56,8,15.57925509,A
84.44961672,191.64,16,30.54690858,A
134.8295597,678.74,15,65.47929273,A
148.0575084,298.88,21,48.03434011,A
170.1041373,145.6,15,19.83892458,A
132.7513565,46.57,11,15.01583065,A
81.74049263,30.04,11,10.29552016,A
148.1579508,45.8,14,12.75267526,A
180.8282851,764.26,17,93.33138535,A
94.44034132,106.14,13,17.48226778,A
143.649255,42.82,18,12.40130142,A
108.3550658,81.01,8,14.70586727,A
57.37910073,687.01,14,88.18191865,A
37.17511917,110.21,12,13.55751954,A
102.7989295,11.54,12,8.095231303,A
85.57086427,135.93,12,23.01086507,A
127.3604836,0,23,0,A
82.34941605,0,15,0,A
66.17050487,62.51,12,11.08032429,A
135.5042746,0,22,0,A
131.6547955,712.67,17,51.39312015,A
27.86663028,1232.55,12,98.77028057,A
37.4298619,123.97,13,18.05518245,A
85.36566301,0,12,0,A
77.43258608,163.85,12,19.09865045,A
72.85958602,57.24,11,11.41431131,A
120.7826783,647.57,15,62.62048792,A
109.5771275,2092.8,19,189.6136037,A
47.76544968,9.16,17,4.504356168,A
77.34436677,787.1,14,73.09298481,A
78.99115273,57.13,19,10.00463656,A
88.64797876,38.76,12,11.26057528,A
43.38903542,96.2,12,11.76927396,A
101.0627462,279.22,17,43.66078186,A
81.48159304,523.91,13,40.85911807,A
101.060135,58.18,25,17.70529079,A
96.97294579,981.66,14,110.0858787,A
56.36017867,42.01,11,8.677147107,A
104.2724104,130.55,32,38.14831424,A
76.17659603,187.26,13,31.8844542,A
54.99277637,73.25,14,13.75837075,A
64.72783274,849.95,13,91.80495614,A
95.09276265,384.46,12,55.63955884,A
89.97533129,17.04,18,7.908490924,A
88.14444538,54.08,15,11.89314726,A
160.4781681,616.26,19,11.42948384,A
175.8393682,146.27,16,31.72102282,A
155.3405156,746.58,28,62.15050724,A
86.720829,22.04,15,8.061794393,A
65.27300424,0,12,0,A
37.84428221,12.51,10,5.906745189,A
41.46463359,168.6,9,25.67362025,A
125.8932349,76.58,14,16.87019208,A
110.6633599,54.39,14,14.50243041,A
199.3948406,1542.34,25,196.4379212,A
71.50999482,67.08,14,11.02476226,A
51.32737374,66.15,12,12.32366133,A
73.61456092,59.95,11,11.8894982,A
85.09524186,31.51,16,9.366249807,A
29.17125143,867.92,13,84.83389709,A
114.9644774,58.24,13,12.86334156,A
29.03217519,836.12,10,69.71289531,A
94.68123234,50.24,16,11.48576314,A
78.23189844,59.49,12,13.50274859,A
92.57912373,496.61,14,52.50563164,A
57.84558812,936.96,10,73.52581294,A
186.5623983,0,21,0,A
114.5570411,200.86,14,35.63096936,A
109.9180096,789.53,18,86.75628016,A
73.15341653,647.25,12,56.91013624,A
77.04575432,73.4,17,13.17552542,A
124.5709806,27.4,20,11.58706965,A
153.4188854,1307.65,17,10.32213092,A
161.1143236,118.2,19,24.24394172,A
78.16586048,105.96,10,14.36236392,A
82.30051036,42.53,11,11.6514639,A
94.40242331,94.99,11,17.03515341,A
70.18511054,85.6,19,15.47354983,A
56.114496,71.64,13,14.64725652,A
163.1964226,153.26,23,36.71679305,A
101.3609553,127.47,14,17.05282408,A
103.9467473,99.2,10,13.76888003,A
77.03491848,13.9,19,7.93099591,A
57.57031712,108.84,13,11.65835086,A
102.6843419,9.78,19,8.912300557,A
97.76097812,711.17,12,93.65581397,A
50.52676399,26.72,10,7.588207679,A
128.5658553,22.11,19,11.06715924,A
116.972815,1107.43,17,155.8642289,A
78.34272562,51.35,14,9.532594457,A
42.7301939,514.84,9,74.07314607,A
115.0782691,1061.41,20,14.83312878,A
99.41012766,309.97,14,44.13377973,A
61.51642938,290.34,10,23.24408238,A
69.75390861,54.23,16,8.75127755,A
45.49408292,115.01,17,19.66723523,A
120.7420872,221.64,13,29.20426223,A
31.06656969,204.17,13,27.75121935,A
78.11574517,540.58,14,43.71561878,A
198.6204226,194.59,29,46.51568297,A
108.6350953,124.09,15,19.86234109,A
101.8145554,1318.2,18,131.5179312,A
43.47826452,1031.93,14,118.3612773,A
65.09061004,242.84,13,30.56509208,A
55.13364033,50.48,12,9.209594511,A
44.52177349,26.76,11,7.149971254,A
33.17804658,6.88,6,3.915433355,A
101.6276975,90.73,14,15.82921922,A
144.2893924,340.63,19,32.54398239,A
60.11856844,335.63,16,48.90071351,A
117.3681909,1091.85,14,156.4271931,A
104.6198585,146.18,12,16.71502707,A
50.90321396,22.95,11,6.417000992,A
75.54933238,312.86,13,30.65976662,A
81.67960117,153.91,13,26.92372207,A
115.7700227,0,13,0,A
84.51122381,828.19,17,76.42601098,A
33.46726462,31.62,5,8.499782841,A
199.8312895,474.84,19,41.35138726,A
97.17673963,25.49,16,10.79189424,A
122.4930182,782.58,34,109.4642494,A
37.09001558,198.98,11,19.65640834,A
51.74237601,55.3,13,11.134123,A
67.1370508,110.28,20,17.1679229,A
56.96495901,598.39,15,78.96574465,A
63.07836573,132.99,12,14.61770687,A
631.8502019,223.41,18,143.2316278,A
174.0655224,32.28,19,12.09265345,A
47.36243645,737.71,12,93.04964685,A
104.7383625,619.51,15,81.42851649,A
112.3290816,948.66,16,117.4231116,A
37.71970624,32.2,9,7.263589528,A
63.1699556,33.01,10,8.350593138,A
126.0481849,1205.74,20,9.295445639,A
86.56891067,85.68,10,15.04262841,A
123.3697533,95.08,18,16.4775601,A
137.5352448,44,16,10.44004462,A
45.53885571,14.79,9,4.992331014,A
64.3227622,94.31,11,15.70080021,A
92.45157071,185.81,13,24.86196963,A
69.4216155,179.58,9,26.77577534,A
114.6475171,199.6,32,28.52720456,A
166.1873295,90.56,17,19.43100009,A
72.20072202,188.61,13,6.661286178,A
88.98611456,37.52,12,11.345529,A
74.83871167,9.38,14,5.920237496,A
28.50358131,48.94,11,7.563347473,A
52.40377333,1169.39,9,103.2723081,A
71.57210836,172.33,13,18.71745195,A
63.24381574,529.22,10,53.29484679,A
118.3746808,923.59,17,97.06148461,A
136.5588908,130.82,14,18.17090382,A
56.21457252,118.9,8,14.12012475,A
135.6019853,52.33,14,13.00388858,A
61.16300865,154.52,8,15.04943679,A
92.50077412,9.51,12,7.289732171,A
65.22504589,116.26,11,16.35812885,A
144.4100263,163.97,39,45.53253692,A
53.74075469,70.31,12,13.31255299,A
103.1874146,1957.35,33,23.39020738,A
119.1663866,26.43,18,13.44961939,A
156.9406658,426.54,16,46.73880446,A
125.3204037,1079.22,19,129.9555788,A
68.23869148,39.89,15,8.190456237,A
113.1351213,347,12,44.53039694,A
30.02353229,7.34,11,3.704501952,A
148.0428625,227.55,39,52.11263446,A
100.8765001,783.64,22,102.1542623,A
111.4859845,973.28,16,113.2397837,A
61.96303972,263.97,9,38.52654865,A
121.3054545,439.69,21,66.00295343,A
82.20955558,69.19,11,15.58935126,A
47.48179892,476.75,16,65.15218354,A
40.51349967,70.22,8,8.557344534,A
71.18005651,57.89,12,11.02142931,A
80.84794058,133.15,10,14.33577899,A
22.011423,507.82,16,70.65710623,A
171.3393502,121.49,24,20.6247546,A
64.0272858,19.69,17,6.205201655,A
254.4301505,359.74,30,61.15652414,A
80.98826227,26.48,11,10.80790214,A
150.7382518,105.35,15,21.33231867,A
121.124307,700.42,17,16.37072363,A
60.81651178,143.63,9,17.44930148,A
67.33041052,118.13,10,19.11529628,A
107.6339716,104.5,16,21.76208424,A
130.4649102,249.2,13,32.33566591,A
89.1051078,26.06,14,7.895852702,A
73.67034791,142.4,11,25.0397241,A
109.5192739,124.53,29,33.4492608,A
83.5767837,462.98,15,44.99437985,A
47.79903378,75.81,12,11.67521401,A
80.07336649,72.47,14,16.63745295,A
146.6357115,245.8,16,25.42270323,A
96.92344093,0,17,0,A
95.22599334,128.04,14,17.33067908,A
36.82511849,98.23,8,15.6490444,A
101.6620411,54.32,10,12.73373078,A
61.17410638,0,12,0,A
30.23343117,270.04,15,25.41561293,A
154.9890617,1215.32,19,142.9847568,A
70.41612052,45.42,9,10.82779044,A
81.5968691,1616.51,14,178.0856126,A
101.2890556,218.56,11,23.02873435,A
570.0583981,356.14,18,120.9212845,A
54.84798937,40.9,15,8.032570102,A
165.8476536,0,16,0,A
78.22102368,44.86,15,10.700122,A
53.49971351,50.85,9,9.957238867,A
84.50020941,1121.35,15,73.81193618,A
58.1801122,8.04,11,5.832293805,A
75.98352415,709.99,13,65.51117895,A
169.7782333,451.38,17,12.61399802,A
31.0760058,8.5,11,3.804084909,A
82.66614885,17.91,13,9.094506683,A
79.32205063,56.79,12,11.85974018,A
68.3226082,98.18,9,13.35751847,A
63.36726359,183.47,18,30.03827909,A
112.4195065,0,17,0,A
59.08528587,23.62,10,6.688763075,A
18.8157032,227.09,18,27.48327787,A
37.60677792,16.09,13,6.618614848,A
68.51650556,6.79,15,5.80969092,A
125.8029903,362.45,15,9.901280946,A
105.5451822,70.09,11,11.2927273,A
27.18592321,163.87,11,22.03292006,A
105.5133557,106.15,21,21.1526412,A
84.42023903,16.58,11,6.25248447,A
61.44240853,226.71,8,27.28995992,A
61.98783614,42.39,13,9.302699378,A
107.2245763,680.84,12,78.06901858,A
185.8866403,60.71,23,15.68512232,A
48.2667739,155.3,13,15.42909411,A
46.41140078,5.85,10,4.434263735,A
84.54592519,14.75,19,9.577802907,A
100.995902,807.27,19,122.0614622,A
135.2507742,50.82,17,15.64026891,A
107.6764881,82.8,20,14.1396794,A
113.8769678,273.59,20,42.60592729,A
53.23044198,490.38,7,37.18378087,A
111.3352384,28.41,15,10.35377755,A
119.3317696,152.35,16,23.19914682,A
53.38501435,547.02,14,46.50331524,A
73.55248288,0,14,0,A
52.60658829,83.31,11,13.44058578,A
59.85860071,154.95,16,15.31564782,A
132.2635522,633.67,24,92.45440565,A
69.42847631,232.09,14,20.49551076,A
50.26059988,64.32,8,9.675400089,A
38.07307155,107.97,12,10.48407996,A
74.33106275,58.93,15,9.555069518,A
68.51926466,66.06,11,15.01153567,A
164.7396348,166.28,18,24.56880654,A
52.22860558,168.41,13,20.03075676,A
49.5583146,99.71,10,17.79415388,A
109.4368347,476.42,13,8.037682142,A
89.21019963,0,16,0,A
79.76277617,149.04,7,22.69794744,A
86.7068548,199.28,11,21.73583193,A
63.4997252,0,14,0,A
182.691654,36.2,19,14.36360269,A
117.1717485,145.36,18,26.12610687,A
45.65735851,0,13,0,A
124.6677115,18.29,11,11.11227523,A
136.4772286,389.97,14,52.77852811,A
61.69112303,624.1,9,87.51421077,A
170.2555407,55.28,30,25.8896494,A
102.7472429,66.14,21,19.15994003,A
34.13719826,96.98,11,9.724685547,A
133.2018539,18.6,9,10.90673734,A
116.5237739,0,11,0,A
46.56602743,9.77,13,5.104599385,A
103.4928386,116.1,13,23.05465467,A
63.22917683,210.06,14,22.74401922,A
125.2030821,224.26,15,24.69485694,A
49.22661388,224.86,17,32.21272171,A
48.77477968,41.78,9,10.19989985,A
102.8036536,50.47,26,18.76992583,A
81.56900949,504.93,13,36.96465787,A
190.2427436,46.54,18,13.63745595,A
131.121297,207.63,14,30.95550358,A
74.89586946,48.87,11,9.448831173,A
64.92904406,735.92,16,80.20546503,A
103.3024431,28.94,12,10.41604699,A
195.6605118,40.94,19,15.66818479,A
86.60351407,52.24,16,12.51843972,A
99.11435102,26.79,12,8.763847954,A
73.03572143,144.79,10,23.48166829,A
95.21372847,44.54,12,11.43192128,A
62.39038246,29.91,16,6.135404963,A
96.28280069,547.07,16,72.69072547,A
188.8948934,18.16,18,15.14404655,A
164.5188577,446.75,22,63.74389016,A
128.4592729,66.04,22,16.56789304,A
101.0114589,131.93,20,14.50444206,A
247.4126301,574.29,30,90.43966367,A
77.85997207,457.52,12,44.54953408,A
73.47813044,10.73,15,6.922194793,A
32.18352486,1216.91,6,155.6559765,A
94.46683249,93.32,15,17.61016832,A
112.4894866,178.13,14,27.27429607,A
140.5370977,1293.62,16,154.8374892,A
173.4011244,382.83,17,39.11422649,A
128.4474942,89.24,21,27.3160533,A
125.124518,175.35,17,25.4383942,A
47.1830036,42.3,21,9.763878998,A
97.85610864,56.61,12,13.27416242,A
79.80362685,122.14,19,21.40777696,A
156.7640428,28.57,23,15.10218866,A
82.2765227,955.98,9,93.66985772,A
52.969913,1454.88,14,161.925396,A
94.16138892,16.32,12,7.385697801,A
61.26736415,66.22,21,12.82931929,A
33.4642516,77.11,9,9.375629646,A
52.6582057,79.6,9,12.98070021,A
86.64126637,253.88,10,28.50752123,A
61.1321949,28.82,15,7.506520025,A
366.7717975,264.73,41,87.50092715,A
41.45112066,3809.11,13,426.6970022,A
54.50304765,5.95,10,4.093185647,A
48.64781162,31.23,13,6.888223899,A
87.15774485,589.74,17,69.5959774,A
160.0288879,217.97,20,38.40247431,A
80.92447283,198.54,13,20.31033635,A
72.66499027,79.43,14,10.97929287,A
149.966911,75.03,23,14.23673562,A
127.5451527,57.23,22,18.17719145,A
97.69022057,20.27,18,10.22070522,A
30.4619745,64.48,14,8.790838484,A
42.7413185,64.49,12,10.00363656,A
397.4744225,98.76,47,97.83208137,A
96.73900209,939.11,14,74.15060835,A
27.5823188,48.63,16,8.279571313,A
103.713485,733.36,15,67.40250243,A
196.099477,0,18,0,A
40.90562145,455.1,12,39.62966683,A
181.5862336,723.31,22,79.9755006,A
87.43166437,563.11,16,59.93366807,A
106.0522112,113.8,16,16.24264193,A
61.01385778,920.49,16,92.03544096,A
188.5843692,22.45,22,14.27375627,A
130.0821966,103.32,23,27.77819928,A
88.5330441,92.4,9,12.94692044,A
172.1882171,294.5,24,32.64428275,A
46.27183996,173.63,16,14.18820535,A
83.1244051,519,11,37.3383325,A
50.60688977,5.02,15,4.873878823,A
74.29511914,187.37,14,29.90584562,A
51.17510222,69.66,13,10.59055359,A
69.87239106,87.87,11,14.13226511,A
112.5472807,0,14,0,A
35.70042689,210.8,9,30.68636325,A
43.22959803,896.85,13,122.7151809,A
66.01669759,132.05,16,21.01412823,A
109.97392,70.77,13,13.47423296,A
185.2069671,65.88,30,21.83754428,A
66.82848018,23.84,9,7.036121549,A
78.42481437,163.89,14,29.28262266,A
63.98745286,183.65,16,18.44418098,A
59.5660747,30,13,8.962142672,A
86.49449794,26.1,12,9.432391809,A
63.59542434,167.93,13,15.5051088,A
119.5232992,76.7,14,12.53075075,A
72.67874611,11.73,14,7.366292133,A
109.2305832,119.44,14,15.27648042,A
137.9987334,20.39,20,10.52160675,A
116.7635878,0,14,0,A
55.48856581,84.18,11,15.54973366,A
100.5687221,18.61,13,7.87139501,A
114.5803799,90.18,15,16.67184045,A
72.96271407,49.21,16,9.169460523,A
169.460524,77.81,17,18.00909427,A
74.71665504,69.93,12,9.365515182,A
62.01237917,61.16,8,12.7495891,A
59.0347256,29.12,17,8.377148544,A
92.77477343,40.74,18,11.86954106,A
115.7672857,38.37,12,11.1002455,A
72.70346007,8.98,13,6.240320868,A
136.5038412,455.06,23,46.45942828,A
106.5828401,14.81,21,14.66808749,A
53.60859754,1180.41,12,142.9489618,A
113.6569689,233.46,13,36.57380583,A
163.7186537,32.86,17,10.94172681,A
61.10387328,113.14,10,13.74377503,A
43.3747021,1175.39,14,131.4407442,A
108.4488647,82.5,14,18.62974098,A
99.00755702,30.06,15,10.16027971,A
57.69588054,1493.24,17,141.4390848,A
105.1657404,128.24,13,17.07784088,A
95.93151416,1654.6,17,156.6093234,A
74.24993092,0,16,0,A
108.2610301,199.18,13,26.26706957,A
70.06286631,23.72,16,8.549235168,A
106.953166,888.51,14,101.8951988,A
22.97933221,68,11,6.730308036,A
64.17031209,115.71,11,17.23865746,A
165.9400966,385.22,26,57.96448072,A
45.35095336,23.81,16,6.364079071,A
70.78365873,104.7,14,17.15348936,A
59.1802364,686.48,15,74.44051593,A
82.02090295,252.76,19,30.66940056,A
41.81006403,114.15,18,17.44166922,A
41.52733316,22.37,16,6.491934012,A
45.71172959,510.66,10,58.88800208,A
48.37914963,18.76,15,4.591058754,A
45.27431396,1141.87,13,105.6287637,A
76.74541409,845.53,14,70.63143557,A
101.9236128,25.48,24,16.47122711,A
122.7938985,47.02,16,11.80073132,A
35.8107484,24.99,15,6.615969588,A
150.2567917,38.44,20,13.87305088,A
111.5180281,80.69,14,12.33348645,A
75.52395988,2485.41,12,287.3666021,A
45.84506493,1882.9,15,243.9978785,A
179.2597356,114.71,14,24.73287356,A
49.25023897,590.2,11,79.27947514,A
67.72742501,10.8,16,6.689736589,A
185.3010262,282.64,22,34.15223244,A
93.83120816,23.86,18,9.330725407,A
115.1220911,892.44,12,128.6863989,A
130.8115002,102.49,22,25.36264338,A
74.09815141,99.7,9,13.71654826,A
85.3471464,88.43,15,14.89344979,A
156.4509287,848.62,18,120.1445171,A
81.69222669,37.7,14,10.15585318,A
111.605504,211.48,16,31.31457812,A
338.7755709,866.51,36,195.3011504,A
104.3670527,467.72,15,58.31527484,A
96.11426716,88.45,12,14.16686137,A
85.63159589,48.91,12,11.48677024,A
146.2700033,0,24,0,A
170.6518345,102.5,17,25.0974445,A
136.3470919,72.56,18,15.76533688,A
87.14612233,235.41,16,21.34182453,A
90.68806046,100.85,13,17.8466523,A
90.54890509,34.08,15,10.98518062,A
128.6316877,608.06,14,76.73268596,A
48.83822386,628.79,11,43.81707375,A
35.78054441,9.37,13,4.337093548,A
141.6150359,67.59,16,15.95009609,A
37.83987638,103.24,13,14.61992135,A
28.59553135,59.34,12,10.22829236,A
168.5270351,100.71,17,24.77828172,A
59.19481111,69.56,9,9.896482018,A
34.29473922,645.52,9,58.31556628,A
138.3997312,556.34,16,63.87270817,A
77.65674436,48.04,17,10.39979367,A
68.01720984,126.61,13,15.41488997,A
72.49000945,1122.4,11,120.6219985,A
78.81467049,97.47,15,13.61831007,A
95.39720065,234.95,13,36.48375433,A
60.40947,185.4,14,26.2141058,A
88.85472028,39.77,12,11.18302225,A
173.6954025,583.85,22,73.08612156,A
24.00819315,9.43,14,3.217299535,A
38.61491785,22.49,12,6.868259638,A
47.91963084,134.19,9,22.47832615,A
71.33116367,593.69,11,41.87470979,A
98.60733136,23.45,14,11.04234121,A
199.4438544,34.31,23,16.45864588,A
43.17345816,221.41,11,34.97789574,A
91.35973441,138.37,17,15.79677961,A
103.727151,180.59,17,20.98694826,A
132.2784498,455.74,16,43.03827299,A
71.90306579,51.24,14,9.332817235,A
93.7972067,126.8,13,25.14764637,A
90.27754963,307.2,9,8.527716062,A
109.6936095,0,13,0,A
105.9680683,134.12,12,18.5839337,A
18.20127749,67.71,11,11.18541776,A
69.47223515,59.43,12,12.35549633,A
91.48977254,449.06,15,34.65679871,A
35.15910098,715.17,11,53.7681164,A
165.2186292,645.85,20,74.81341517,A
65.42733487,139.26,13,17.26287274,A
139.7552907,753.89,12,95.96815821,A
46.29019644,15.18,10,7.162605007,A
75.35464145,296.62,13,25.6337214,A
82.14897234,92.53,16,17.53675671,A
61.50416855,986.61,16,108.3193902,A
53.13970914,13.92,12,5.543722953,A
100.1887376,21.21,10,10.08184801,A
90.77954992,52.82,11,11.95866117,A
67.79861266,128.03,11,16.55522425,A
134.8798552,89.24,18,15.49702625,A
100.9341828,1141.27,11,141.7572041,A
66.45640903,347.78,15,42.46540612,A
174.9095047,141.96,19,26.59795227,A
131.2299577,0,13,0,A
82.79107299,297,15,28.93962655,A
50.97124479,96.06,14,10.05242932,A
34.0715121,800.68,13,81.51632172,A
173.8533603,528.23,18,427.3264148,A
87.51777866,121.44,11,13.90758734,A
53.16776407,52.63,10,8.86088466,A
70.13146852,24.65,13,8.270807285,A
30.94708119,75.92,13,13.32652765,A
130.3311012,0,13,0,A
87.82816792,140.68,11,23.83535688,A
121.1038549,1684.15,11,199.1708299,A
33.46459218,53.88,12,9.491909036,A
94.30316841,45.92,13,11.0553828,A
173.8533603,655.9,18,619.5744108,A
104.8084729,52.04,14,10.74304627,A
83.54889315,40.33,18,10.80015378,A
67.77513299,9.66,10,5.628807898,A
52.09123507,0,12,0,A
62.07531817,33.19,8,7.077587118,A
40.44438231,170.31,13,25.68595236,A
73.60279376,258.49,15,24.8243778,A
106.1945823,458.36,20,66.68292179,A
123.5365622,39.91,12,12.79873939,A
129.1880287,208.45,16,34.11134745,A
94.54643191,1677.34,16,235.6785684,A
110.5921763,8.38,13,8.185573928,A
78.19503203,499.07,11,41.53193294,A
48.04511842,37.2,12,7.982329882,A
51.43778927,42.32,16,9.476390598,A
137.8657985,389.6,15,9.696354706,A
59.05842363,134.85,10,21.65559536,A
77.99076372,7.85,16,7.36334549,A
120.7596107,173.52,12,32.23991752,A
65.17363188,38.72,19,8.558883881,A
100.6395765,18.34,10,9.598984776,A
47.35894921,2017.25,9,130.9328285,A
67.40445279,0,14,0,A
60.57011763,65.94,14,12.2734975,A
110.1346476,0,14,0,A
105.2237047,549.95,11,56.09086847,A
103.0269222,460.47,15,49.70578431,A
77.79218348,21.99,13,9.266621413,A
102.4093598,725.26,13,80.31217064,A
57.90517437,36.66,15,9.580900811,A
169.2204419,333.03,25,20.90942044,A
113.1414098,879.47,16,61.88972755,A
110.9865356,113.79,17,27.15921286,A
52.3756749,77.9,13,11.80279733,A
79.82379936,0,15,0,A
161.6727538,48.44,20,15.41762247,A
70.42727995,86.94,16,10.64455972,A
80.64699703,50.07,10,9.997478732,A
116.9985142,150.75,15,23.1030227,A
204.1838707,1047.26,26,183.4125019,A
